PassengerId,Survived,Pclass,SibSp,Parch,Ticket,Fare,Embarked,AgeCleaned,CabinCleaned,genderCleaned,Last_Name,Title,First_Name
49,0,3,2,0,2662,21.67919922,C,29.7,Not Specified,Male,Samaan,Mr., Youssef
50,0,3,1,0,349237,17.79999924,S,18,Not Specified,Female,Arnold-Franchi,Mrs., Josef (Josefine Franchi)
51,0,3,4,1,3101295,39.6875,S,7,Not Specified,Male,Panula,Master., Juha Niilo
52,0,3,0,0,A/4. 39886,7.800000191,S,21,Not Specified,Male,Nosworthy,Mr., Richard Cater
53,1,1,1,0,PC 17572,76.72920227,C,49,D33,Female,Harper,Mrs., Henry Sleeper (Myna Haxtun)
54,1,2,1,0,2926,26,S,29,Not Specified,Female,Faunthorpe,Mrs., Lizzie (Elizabeth Anne Wilkinson)
55,0,1,0,1,113509,61.97919846,C,65,B30,Male,Ostby,Mr., Engelhart Cornelius
56,1,1,0,0,19947,35.5,S,29.7,C52,Male,Woolner,Mr., Hugh
57,1,2,0,0,C.A. 31026,10.5,S,21,Not Specified,Female,Rugg,Miss., Emily
58,0,3,0,0,2697,7.229199886,C,28.5,Not Specified,Male,Novel,Mr., Mansouer
59,1,2,1,2,C.A. 34651,27.75,S,5,Not Specified,Female,West,Miss., Constance Mirium
60,0,3,5,2,CA 2144,46.90000153,S,11,Not Specified,Male,Goodwin,Master., William Frederick
61,0,3,0,0,2669,7.229199886,C,22,Not Specified,Male,Sirayanian,Mr., Orsen
62,1,1,0,0,113572,80,NULL,38,B28,Female,Icard,Miss., Amelie
63,0,1,1,0,36973,83.47499847,S,45,C83,Male,Harris,Mr., Henry Birkhardt
64,0,3,3,2,347088,27.89999962,S,4,Not Specified,Male,Skoog,Master., Harald
65,0,1,0,0,PC 17605,27.7208004,C,29.7,Not Specified,Male,Stewart,Mr., Albert A
66,1,3,1,1,2661,15.24580002,C,29.7,Not Specified,Male,Moubarek,Master., Gerios
67,1,2,0,0,C.A. 29395,10.5,S,29,F33,Female,Nye,Mrs., (Elizabeth Ramell)
68,0,3,0,0,S.P. 3464,8.1583004,S,19,Not Specified,Male,Crease,Mr., Ernest James
69,1,3,4,2,3101281,7.925000191,S,17,Not Specified,Female,Andersson,Miss., Erna Alexandra
70,0,3,2,0,315151,8.662500381,S,26,Not Specified,Male,Kink,Mr., Vincenz
71,0,2,0,0,C.A. 33111,10.5,S,32,Not Specified,Male,Jenkin,Mr., Stephen Curnow
72,0,3,5,2,CA 2144,46.90000153,S,16,Not Specified,Female,Goodwin,Miss., Lillian Amy
73,0,2,0,0,S.O.C. 14879,73.5,S,21,Not Specified,Male,Hood,Mr., Ambrose Jr
74,0,3,1,0,2680,14.45419979,C,26,Not Specified,Male,Chronopoulos,Mr., Apostolos
75,1,3,0,0,1601,56.49580002,S,32,Not Specified,Male,Bing,Mr., Lee
76,0,3,0,0,348123,7.650000095,S,25,F G73,Male,Moen,Mr., Sigurd Hansen
77,0,3,0,0,349208,7.895800114,S,29.7,Not Specified,Male,Staneff,Mr., Ivan
78,0,3,0,0,374746,8.050000191,S,29.7,Not Specified,Male,Moutal,Mr., Rahamin Haim
79,1,2,0,2,248738,29,S,0.829999983,Not Specified,Male,Caldwell,Master., Alden Gates
80,1,3,0,0,364516,12.47500038,S,30,Not Specified,Female,Dowdell,Miss., Elizabeth
81,0,3,0,0,345767,9,S,22,Not Specified,Male,Waelens,Mr., Achille
82,1,3,0,0,345779,9.5,S,29,Not Specified,Male,Sheerlinck,Mr., Jan Baptist
83,1,3,0,0,330932,7.787499905,Q,29.7,Not Specified,Female,McDermott,Miss., Brigdet Delia
84,0,1,0,0,113059,47.09999847,S,28,Not Specified,Male,Carrau,Mr., Francisco M
85,1,2,0,0,SO/C 14885,10.5,S,17,Not Specified,Female,Ilett,Miss., Bertha
86,1,3,3,0,3101278,15.85000038,S,33,Not Specified,Female,Backstrom,Mrs., Karl Alfred (Maria Mathilda Gustafsson)
87,0,3,1,3,W./C. 6608,34.375,S,16,Not Specified,Male,Ford,Mr., William Neal
88,0,3,0,0,SOTON/OQ 392086,8.050000191,S,29.7,Not Specified,Male,Slocovski,Mr., Selman Francis
89,1,1,3,2,19950,263,S,23,C23 C25 C27,Female,Fortune,Miss., Mabel Helen
90,0,3,0,0,343275,8.050000191,S,24,Not Specified,Male,Celotti,Mr., Francesco
91,0,3,0,0,343276,8.050000191,S,29,Not Specified,Male,Christmann,Mr., Emil
92,0,3,0,0,347466,7.854199886,S,20,Not Specified,Male,Andreasson,Mr., Paul Edvin
93,0,1,1,0,W.E.P. 5734,61.17499924,S,46,E31,Male,Chaffee,Mr., Herbert Fuller
94,0,3,1,2,C.A. 2315,20.57500076,S,26,Not Specified,Male,Dean,Mr., Bertram Frank
95,0,3,0,0,364500,7.25,S,59,Not Specified,Male,Coxon,Mr., Daniel
96,0,3,0,0,374910,8.050000191,S,29.7,Not Specified,Male,Shorney,Mr., Charles Joseph
97,0,1,0,0,PC 17754,34.65420151,C,71,A5,Male,Goldschmidt,Mr., George B
98,1,1,0,1,PC 17759,63.35829926,C,23,D10 D12,Male,Greenfield,Mr., William Bertram
99,1,2,0,1,231919,23,S,34,Not Specified,Female,Doling,Mrs., John T (Ada Julia Bone)
100,0,2,1,0,244367,26,S,34,Not Specified,Male,Kantor,Mr., Sinai
101,0,3,0,0,349245,7.895800114,S,28,Not Specified,Female,Petranec,Miss., Matilda
102,0,3,0,0,349215,7.895800114,S,29.7,Not Specified,Male,Petroff,Mr.," Pastcho (""Pentcho"")"
103,0,1,0,1,35281,77.28749847,S,21,D26,Male,White,Mr., Richard Frasar
104,0,3,0,0,7540,8.6541996,S,33,Not Specified,Male,Johansson,Mr., Gustaf Joel
105,0,3,2,0,3101276,7.925000191,S,37,Not Specified,Male,Gustafsson,Mr., Anders Vilhelm
106,0,3,0,0,349207,7.895800114,S,28,Not Specified,Male,Mionoff,Mr., Stoytcho
107,1,3,0,0,343120,7.650000095,S,21,Not Specified,Female,Salkjelsvik,Miss., Anna Kristine
108,1,3,0,0,312991,7.775000095,S,29.7,Not Specified,Male,Moss,Mr., Albert Johan
109,0,3,0,0,349249,7.895800114,S,38,Not Specified,Male,Rekic,Mr., Tido
110,1,3,1,0,371110,24.14999962,Q,29.7,Not Specified,Female,Moran,Miss., Bertha
111,0,1,0,0,110465,52,S,47,C110,Male,Porter,Mr., Walter Chamberlain
112,0,3,1,0,2665,14.45419979,C,14.5,Not Specified,Female,Zabour,Miss., Hileni
113,0,3,0,0,324669,8.050000191,S,22,Not Specified,Male,Barton,Mr., David John
114,0,3,1,0,4136,9.824999809,S,20,Not Specified,Female,Jussila,Miss., Katriina
115,0,3,0,0,2627,14.45829964,C,17,Not Specified,Female,Attalah,Miss., Malake
116,0,3,0,0,STON/O 2. 3101294,7.925000191,S,21,Not Specified,Male,Pekoniemi,Mr., Edvard
117,0,3,0,0,370369,7.75,Q,70.5,Not Specified,Male,Connors,Mr., Patrick
118,0,2,1,0,11668,21,S,29,Not Specified,Male,Turpin,Mr., William John Robert
119,0,1,0,1,PC 17558,247.5207977,C,24,B58 B60,Male,Baxter,Mr., Quigg Edmond
120,0,3,4,2,347082,31.27499962,S,2,Not Specified,Female,Andersson,Miss., Ellis Anna Maria
121,0,2,2,0,S.O.C. 14879,73.5,S,21,Not Specified,Male,Hickman,Mr., Stanley George
122,0,3,0,0,A4. 54510,8.050000191,S,29.7,Not Specified,Male,Moore,Mr., Leonard Charles
123,0,2,1,0,237736,30.07080078,C,32.5,Not Specified,Male,Nasser,Mr., Nicholas
124,1,2,0,0,27267,13,S,32.5,E101,Female,Webber,Miss., Susan
125,0,1,0,1,35281,77.28749847,S,54,D26,Male,White,Mr., Percival Wayland
126,1,3,1,0,2651,11.24170017,C,12,Not Specified,Male,Nicola-Yarred,Master., Elias
127,0,3,0,0,370372,7.75,Q,29.7,Not Specified,Male,McMahon,Mr., Martin
128,1,3,0,0,C 17369,7.141699791,S,24,Not Specified,Male,Madsen,Mr., Fridtjof Arne
129,1,3,1,1,2668,22.35829926,C,29.7,F E69,Female,Peter,Miss., Anna
130,0,3,0,0,347061,6.974999905,S,45,Not Specified,Male,Ekstrom,Mr., Johan
131,0,3,0,0,349241,7.895800114,C,33,Not Specified,Male,Drazenoic,Mr., Jozef
132,0,3,0,0,SOTON/O.Q. 3101307,7.050000191,S,20,Not Specified,Male,Coelho,Mr., Domingos Fernandeo
133,0,3,1,0,A/5. 3337,14.5,S,47,Not Specified,Female,Robins,Mrs., Alexander A (Grace Charity Laury)
134,1,2,1,0,228414,26,S,29,Not Specified,Female,Weisz,Mrs., Leopold (Mathilde Francoise Pede)
135,0,2,0,0,C.A. 29178,13,S,25,Not Specified,Male,Sobey,Mr., Samuel James Hayden
136,0,2,0,0,SC/PARIS 2133,15.04580021,C,23,Not Specified,Male,Richard,Mr., Emile
137,1,1,0,2,11752,26.2833004,S,19,D47,Female,Newsom,Miss., Helen Monypeny
138,0,1,1,0,113803,53.09999847,S,37,C123,Male,Futrelle,Mr., Jacques Heath
139,0,3,0,0,7534,9.2166996,S,16,Not Specified,Male,Osen,Mr., Olaf Elon
140,0,1,0,0,PC 17593,79.19999695,C,24,B86,Male,Giglio,Mr., Victor
141,0,3,0,2,2678,15.24580002,C,29.7,Not Specified,Female,Boulos,Mrs., Joseph (Sultana)
142,1,3,0,0,347081,7.75,S,22,Not Specified,Female,Nysten,Miss., Anna Sofia
143,1,3,1,0,STON/O2. 3101279,15.85000038,S,24,Not Specified,Female,Hakkarainen,Mrs., Pekka Pietari (Elin Matilda Dolck)
144,0,3,0,0,365222,6.75,Q,19,Not Specified,Male,Burke,Mr., Jeremiah
145,0,2,0,0,231945,11.5,S,18,Not Specified,Male,Andrew,Mr., Edgardo Samuel
146,0,2,1,1,C.A. 33112,36.75,S,19,Not Specified,Male,Nicholls,Mr., Joseph Charles
147,1,3,0,0,350043,7.795800209,S,27,Not Specified,Male,Andersson,Mr.," August Edvard (""Wennerstrom"")"
148,0,3,2,2,W./C. 6608,34.375,S,9,Not Specified,Female,Ford,Miss.," Robina Maggie ""Ruby"""
149,0,2,0,2,230080,26,S,36.5,F2,Male,Navratil,Mr.," Michel (""Louis M Hoffman"")"
150,0,2,0,0,244310,13,S,42,Not Specified,Male,Byles,Rev., Thomas Roussel Davids
151,0,2,0,0,S.O.P. 1166,12.52499962,S,51,Not Specified,Male,Bateman,Rev., Robert James
152,1,1,1,0,113776,66.59999847,S,22,C2,Female,Pears,Mrs., Thomas (Edith Wearne)
153,0,3,0,0,A.5. 11206,8.050000191,S,55.5,Not Specified,Male,Meo,Mr., Alfonzo
154,0,3,0,2,A/5. 851,14.5,S,40.5,Not Specified,Male,van Billiard,Mr., Austin Blyler
155,0,3,0,0,Fa 265302,7.3125,S,29.7,Not Specified,Male,Olsen,Mr., Ole Martin
156,0,1,0,1,PC 17597,61.37919998,C,51,Not Specified,Male,Williams,Mr., Charles Duane
157,1,3,0,0,35851,7.733300209,Q,16,Not Specified,Female,Gilnagh,Miss.," Katherine ""Katie"""
158,0,3,0,0,SOTON/OQ 392090,8.050000191,S,30,Not Specified,Male,Corn,Mr., Harry
159,0,3,0,0,315037,8.662500381,S,29.7,Not Specified,Male,Smiljanic,Mr., Mile
160,0,3,8,2,CA. 2343,69.55000305,S,29.7,Not Specified,Male,Sage,Master., Thomas Henry
161,0,3,0,1,371362,16.10000038,S,44,Not Specified,Male,Cribb,Mr., John Hatfield
162,1,2,0,0,C.A. 33595,15.75,S,40,Not Specified,Female,Watt,Mrs.," James (Elizabeth ""Bessie"" Inglis Milne)"
163,0,3,0,0,347068,7.775000095,S,26,Not Specified,Male,Bengtsson,Mr., John Viktor
164,0,3,0,0,315093,8.662500381,S,17,Not Specified,Male,Calic,Mr., Jovo
165,0,3,4,1,3101295,39.6875,S,1,Not Specified,Male,Panula,Master., Eino Viljami
166,1,3,0,2,363291,20.52499962,S,9,Not Specified,Male,Goldsmith,Master.," Frank John William ""Frankie"""
167,1,1,0,1,113505,55,S,29.7,E33,Female,Chibnall,Mrs., (Edith Martha Bowerman)
168,0,3,1,4,347088,27.89999962,S,45,Not Specified,Female,Skoog,Mrs., William (Anna Bernhardina Karlsson)
169,0,1,0,0,PC 17318,25.92499924,S,29.7,Not Specified,Male,Baumann,Mr., John D
170,0,3,0,0,1601,56.49580002,S,28,Not Specified,Male,Ling,Mr., Lee
171,0,1,0,0,111240,33.5,S,61,B19,Male,Van der hoef,Mr., Wyckoff
172,0,3,4,1,382652,29.125,Q,4,Not Specified,Male,Rice,Master., Arthur
173,1,3,1,1,347742,11.13329983,S,1,Not Specified,Female,Johnson,Miss., Eleanor Ileen
174,0,3,0,0,STON/O 2. 3101280,7.925000191,S,21,Not Specified,Male,Sivola,Mr., Antti Wilhelm
175,0,1,0,0,17764,30.69580078,C,56,A7,Male,Smith,Mr., James Clinch
176,0,3,1,1,350404,7.854199886,S,18,Not Specified,Male,Klasen,Mr., Klas Albin
177,0,3,3,1,4133,25.4666996,S,29.7,Not Specified,Male,Lefebre,Master., Henry Forbes
178,0,1,0,0,PC 17595,28.71249962,C,50,C49,Female,Isham,Miss., Ann Elizabeth
179,0,2,0,0,250653,13,S,30,Not Specified,Male,Hale,Mr., Reginald
180,0,3,0,0,LINE,0,S,36,Not Specified,Male,Leonard,Mr., Lionel
181,0,3,8,2,CA. 2343,69.55000305,S,29.7,Not Specified,Female,Sage,Miss., Constance Gladys
182,0,2,0,0,SC/PARIS 2131,15.05000019,C,29.7,Not Specified,Male,Pernot,Mr., Rene
183,0,3,4,2,347077,31.38750076,S,9,Not Specified,Male,Asplund,Master., Clarence Gustaf Hugo
184,1,2,2,1,230136,39,S,1,F4,Male,Becker,Master., Richard F
185,1,3,0,2,315153,22.02499962,S,4,Not Specified,Female,Kink-Heilmann,Miss., Luise Gretchen
186,0,1,0,0,113767,50,S,29.7,A32,Male,Rood,Mr., Hugh Roscoe
187,1,3,1,0,370365,15.5,Q,29.7,Not Specified,Female,O'Brien,Mrs.," Thomas (Johanna ""Hannah"" Godfrey)"
188,1,1,0,0,111428,26.54999924,S,45,Not Specified,Male,Romaine,Mr.," Charles Hallace (""Mr C Rolmane"")"
189,0,3,1,1,364849,15.5,Q,40,Not Specified,Male,Bourke,Mr., John
190,0,3,0,0,349247,7.895800114,S,36,Not Specified,Male,Turcin,Mr., Stjepan
191,1,2,0,0,234604,13,S,32,Not Specified,Female,Pinsky,Mrs., (Rosa)
192,0,2,0,0,28424,13,S,19,Not Specified,Male,Carbines,Mr., William
193,1,3,1,0,350046,7.854199886,S,19,Not Specified,Female,Andersen-Jensen,Miss., Carla Christine Nielsine
194,1,2,1,1,230080,26,S,3,F2,Male,Navratil,Master., Michel M
195,1,1,0,0,PC 17610,27.7208004,C,44,B4,Female,Brown,Mrs., James Joseph (Margaret Tobin)
196,1,1,0,0,PC 17569,146.5207977,C,58,B80,Female,Lurette,Miss., Elise
197,0,3,0,0,368703,7.75,Q,29.7,Not Specified,Male,Mernagh,Mr., Robert
198,0,3,0,1,4579,8.4041996,S,42,Not Specified,Male,Olsen,Mr., Karl Siegwart Andreas
199,1,3,0,0,370370,7.75,Q,29.7,Not Specified,Female,Madigan,Miss.," Margaret ""Maggie"""
200,0,2,0,0,248747,13,S,24,Not Specified,Female,Yrois,Miss.," Henriette (""Mrs Harbeck"")"
201,0,3,0,0,345770,9.5,S,28,Not Specified,Male,Vande Walle,Mr., Nestor Cyriel
202,0,3,8,2,CA. 2343,69.55000305,S,29.7,Not Specified,Male,Sage,Mr., Frederick
203,0,3,0,0,3101264,6.495800018,S,34,Not Specified,Male,Johanson,Mr., Jakob Alfred
204,0,3,0,0,2628,7.224999905,C,45.5,Not Specified,Male,Youseff,Mr., Gerious
205,1,3,0,0,A/5 3540,8.050000191,S,18,Not Specified,Male,Cohen,Mr.," Gurshon ""Gus"""
206,0,3,0,1,347054,10.46249962,S,2,G6,Female,Strom,Miss., Telma Matilda
207,0,3,1,0,3101278,15.85000038,S,32,Not Specified,Male,Backstrom,Mr., Karl Alfred
208,1,3,0,0,2699,18.78750038,C,26,Not Specified,Male,Albimona,Mr., Nassef Cassem
209,1,3,0,0,367231,7.75,Q,16,Not Specified,Female,Carr,Miss.," Helen ""Ellen"""
210,1,1,0,0,112277,31,C,40,A31,Male,Blank,Mr., Henry
211,0,3,0,0,SOTON/O.Q. 3101311,7.050000191,S,24,Not Specified,Male,Ali,Mr., Ahmed
212,1,2,0,0,F.C.C. 13528,21,S,35,Not Specified,Female,Cameron,Miss., Clear Annie
213,0,3,0,0,A/5 21174,7.25,S,22,Not Specified,Male,Perkin,Mr., John Henry
214,0,2,0,0,250646,13,S,30,Not Specified,Male,Givard,Mr., Hans Kristensen
215,0,3,1,0,367229,7.75,Q,29.7,Not Specified,Male,Kiernan,Mr., Philip
216,1,1,1,0,35273,113.2750015,C,31,D36,Female,Newell,Miss., Madeleine
217,1,3,0,0,STON/O2. 3101283,7.925000191,S,27,Not Specified,Female,Honkanen,Miss., Eliina
218,0,2,1,0,243847,27,S,42,Not Specified,Male,Jacobsohn,Mr., Sidney Samuel
219,1,1,0,0,11813,76.29170227,C,32,D15,Female,Bazzani,Miss., Albina
220,0,2,0,0,W/C 14208,10.5,S,30,Not Specified,Male,Harris,Mr., Walter
221,1,3,0,0,SOTON/OQ 392089,8.050000191,S,16,Not Specified,Male,Sunderland,Mr., Victor Francis
222,0,2,0,0,220367,13,S,27,Not Specified,Male,Bracken,Mr., James H
223,0,3,0,0,21440,8.050000191,S,51,Not Specified,Male,Green,Mr., George Henry
224,0,3,0,0,349234,7.895800114,S,29.7,Not Specified,Male,Nenkoff,Mr., Christo
225,1,1,1,0,19943,90,S,38,C93,Male,Hoyt,Mr., Frederick Maxfield
226,0,3,0,0,PP 4348,9.350000381,S,22,Not Specified,Male,Berglund,Mr., Karl Ivar Sven
227,1,2,0,0,SW/PP 751,10.5,S,19,Not Specified,Male,Mellors,Mr., William John
228,0,3,0,0,A/5 21173,7.25,S,20.5,Not Specified,Male,Lovell,Mr.," John Hall (""Henry"")"
229,0,2,0,0,236171,13,S,18,Not Specified,Male,Fahlstrom,Mr., Arne Jonas
230,0,3,3,1,4133,25.4666996,S,29.7,Not Specified,Female,Lefebre,Miss., Mathilde
231,1,1,1,0,36973,83.47499847,S,35,C83,Female,Harris,Mrs., Henry Birkhardt (Irene Wallach)
232,0,3,0,0,347067,7.775000095,S,29,Not Specified,Male,Larsson,Mr., Bengt Edvin
233,0,2,0,0,237442,13.5,S,59,Not Specified,Male,Sjostedt,Mr., Ernst Adolf
234,1,3,4,2,347077,31.38750076,S,5,Not Specified,Female,Asplund,Miss., Lillian Gertrud
235,0,2,0,0,C.A. 29566,10.5,S,24,Not Specified,Male,Leyson,Mr., Robert William Norman
236,0,3,0,0,W./C. 6609,7.550000191,S,29.7,Not Specified,Female,Harknett,Miss., Alice Phoebe
237,0,2,1,0,26707,26,S,44,Not Specified,Male,Hold,Mr., Stephen
238,1,2,0,2,C.A. 31921,26.25,S,8,Not Specified,Female,Collyer,Miss.," Marjorie ""Lottie"""
239,0,2,0,0,28665,10.5,S,19,Not Specified,Male,Pengelly,Mr., Frederick William
240,0,2,0,0,SCO/W 1585,12.27499962,S,33,Not Specified,Male,Hunt,Mr., George Henry
241,0,3,1,0,2665,14.45419979,C,29.7,Not Specified,Female,Zabour,Miss., Thamine
242,1,3,1,0,367230,15.5,Q,29.7,Not Specified,Female,Murphy,Miss.," Katherine ""Kate"""
243,0,2,0,0,W./C. 14263,10.5,S,29,Not Specified,Male,Coleridge,Mr., Reginald Charles
244,0,3,0,0,STON/O 2. 3101275,7.125,S,22,Not Specified,Male,Maenpaa,Mr., Matti Alexanteri
245,0,3,0,0,2694,7.224999905,C,30,Not Specified,Male,Attalah,Mr., Sleiman
246,0,1,2,0,19928,90,Q,44,C78,Male,Minahan,Dr., William Edward
247,0,3,0,0,347071,7.775000095,S,25,Not Specified,Female,Lindahl,Miss., Agda Thorilda Viktoria
248,1,2,0,2,250649,14.5,S,24,Not Specified,Female,Hamalainen,Mrs., William (Anna)
249,1,1,1,1,11751,52.55419922,S,37,D35,Male,Beckwith,Mr., Richard Leonard
250,0,2,1,0,244252,26,S,54,Not Specified,Male,Carter,Rev., Ernest Courtenay
251,0,3,0,0,362316,7.25,S,29.7,Not Specified,Male,Reed,Mr., James George
252,0,3,1,1,347054,10.46249962,S,29,G6,Female,Strom,Mrs., Wilhelm (Elna Matilda Persson)
253,0,1,0,0,113514,26.54999924,S,62,C87,Male,Stead,Mr., William Thomas
254,0,3,1,0,A/5. 3336,16.10000038,S,30,Not Specified,Male,Lobb,Mr., William Arthur
255,0,3,0,2,370129,20.21249962,S,41,Not Specified,Female,Rosblom,Mrs., Viktor (Helena Wilhelmina)
256,1,3,0,2,2650,15.24580002,C,29,Not Specified,Female,Touma,Mrs., Darwis (Hanne Youssef Razi)
257,1,1,0,0,PC 17585,79.19999695,C,29.7,Not Specified,Female,Thorne,Mrs., Gertrude Maybelle
258,1,1,0,0,110152,86.5,S,30,B77,Female,Cherry,Miss., Gladys
259,1,1,0,0,PC 17755,512.3292236,C,35,Not Specified,Female,Ward,Miss., Anna
260,1,2,0,1,230433,26,S,50,Not Specified,Female,Parrish,Mrs., (Lutie Davis)
261,0,3,0,0,384461,7.75,Q,29.7,Not Specified,Male,Smith,Mr., Thomas
262,1,3,4,2,347077,31.38750076,S,3,Not Specified,Male,Asplund,Master., Edvin Rojj Felix
263,0,1,1,1,110413,79.65000153,S,52,E67,Male,Taussig,Mr., Emil
264,0,1,0,0,112059,0,S,40,B94,Male,Harrison,Mr., William
265,0,3,0,0,382649,7.75,Q,29.7,Not Specified,Female,Henry,Miss., Delia
266,0,2,0,0,C.A. 17248,10.5,S,36,Not Specified,Male,Reeves,Mr., David
267,0,3,4,1,3101295,39.6875,S,16,Not Specified,Male,Panula,Mr., Ernesti Arvid
268,1,3,1,0,347083,7.775000095,S,25,Not Specified,Male,Persson,Mr., Ernst Ulrik
269,1,1,0,1,PC 17582,153.4624939,S,58,C125,Female,Graham,Mrs., William Thompson (Edith Junkins)
270,1,1,0,0,PC 17760,135.6333008,S,35,C99,Female,Bissette,Miss., Amelia
271,0,1,0,0,113798,31,S,29.7,Not Specified,Male,Cairns,Mr., Alexander
272,1,3,0,0,LINE,0,S,25,Not Specified,Male,Tornquist,Mr., William Henry
273,1,2,0,1,250644,19.5,S,41,Not Specified,Female,Mellinger,Mrs., (Elizabeth Anne Maidment)
274,0,1,0,1,PC 17596,29.70000076,C,37,C118,Male,Natsch,Mr., Charles H
